region,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,
Вінницька область,7 355,9 397,8 096,9 456,12 666,8 151,9 689,9 450,14 169,,,,
Волинська область,9 872,15 210,10 550,15 417,22 776,13 835,15 563,15 740,19 470,,,,
Дніпропетровська область,13 148,15 095,13 715,16 830,22 737,11 666,16 747,14 933,18 510,,,,
Донецька область,4 456,6 181,5 976,7 399,8 658,1 101,1 585,1 697,843,,,,
Житомирська область,6 130,8 422,5 950,7 075,9 693,5 243,7 048,7 920,9 705,,,,
Закарпатська область,5 237,6 570,5 144,5 723,8 779,6 032,7 393,6 847,7 705,,,,
Запорізька область,5 461,6 211,5 910,7 490,10 096,2 897,3 295,3 026,3 642,,,,
Івано-Франківська область,8 701,12 475,4 779,6 131,9 416,5 610,6 967,7 760,11 028,,,,
Київ,37 771,45 357,41 632,42 124,64 580,25 451,41 670,48 088,59 152,,,,
Київська область,11 320,14 353,13 155,15 505,20 467,8 476,11 970,12 988,18 599,,,,
Кіровоградська область,4 174,4 634,4 882,5 203,6 328,4 322,5 146,4 687,6 198,,,,
Луганська область,1 729,2 040,2 175,2 959,3 583,428,26,13,12,,,,
Львівська область,18 982,24 165,13 247,19 371,31 427,18 771,23 781,26 493,36 967,,,,
Миколаївська область,5 000,5 014,5 380,5 485,6 434,3 100,4 401,4 464,4 992,,,,
Одеська область,11 684,15 276,11 964,11 564,15 561,8 790,12 295,11 050,13 668,,,,
Полтавська область,7 080,7 953,8 599,11 115,14 391,7 695,10 635,10 565,12 338,,,,
Рівненська область,7 227,12 898,10 686,14 177,23 435,13 758,16 702,17 346,18 932,,,,
Сумська область,4 288,5 526,5 365,6 512,8 846,3 749,5 222,5 292,6 174,,,,
Тернопільська область,5 284,7 604,4 668,6 613,10 910,6 683,7 513,7 601,10 733,,,,
Харківська область,12 031,14 077,11 891,15 109,21 006,5 249,9 273,8 970,11 898,,,,
Херсонська область,4 251,4 395,4 726,5 270,6 615,784,568,623,633,,,,
Хмельницька область,5 743,7 466,6 413,8 960,12 888,7 234,8 661,9 132,12 390,,,,
Черкаська область,4 616,5 568,5 696,6 976,9 572,5 623,7 334,7 079,9 446,,,,
Чернівецька область,3 419,4 772,3 619,4 555,7 380,4 485,5 571,5 796,7 294,,,,
Чернігівська область,3 086,4 458,4 991,6 231,7 653,3 816,4 755,4 705,5 249,,,,
Автономна Республіка Крим,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
