region,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Вінницька область,317355,326752,334848,344304,356970,365121,374810,384260,398429,
Волинська область,204872,220082,230632,246049,268825,282660,298223,313963,333433,
Дніпропетровська область,723148,738243,751958,768788,791525,803191,819938,834871,853381,
Донецька область,484456,490637,496613,504012,512670,513771,515356,517053,517896,
Житомирська область,261130,269552,275502,282577,292270,297513,304561,312481,322186,
Закарпатська область,185237,191807,196951,202674,211453,217485,224878,231725,239430,
Запорізька область,395461,401672,407582,415072,425168,428065,431360,434386,438028,
Івано-Франківська область,233701,246176,250955,257086,266502,272112,279079,286839,297867,
Київ,1317771,1363128,1404760,1446884,1511464,1536915,1578585,1626673,1685825,
Київська область,616320,630673,643828,659333,679800,688276,700246,713234,731833,
Кіровоградська область,209174,213808,218690,223893,230221,234543,239689,244376,250574,
Луганська область,166729,168769,170944,173903,177486,177914,177940,177953,177965,
Львівська область,493982,518147,531394,550765,582192,600963,624744,651237,688204,
Миколаївська область,240000,245014,250394,255879,262313,265413,269814,274278,279270,
Одеська область,571684,586960,598924,610488,626049,634839,647134,658184,671852,
Полтавська область,337080,345033,353632,364747,379138,386833,397468,408033,420371,
Рівненська область,192227,205125,215811,229988,253423,267181,283883,301229,320161,
Сумська область,234288,239814,245179,251691,260537,264286,269508,274800,280974,
Тернопільська область,195284,202888,207556,214169,225079,231762,239275,246876,257609,
Харківська область,642031,656108,667999,683108,704114,709363,718636,727606,739504,
Херсонська область,219251,223646,228372,233642,240257,241041,241609,242232,242865,
Хмельницька область,270743,278209,284622,293582,306470,313704,322365,331497,343887,
Черкаська область,289616,295184,300880,307856,317428,323051,330385,337464,346910,
Чернівецька область,248419,253191,256810,261365,268745,273230,278801,284597,291891,
Чернігівська область,158086,162544,167535,173766,181419,185235,189990,194695,199944,
Автономна Республіка Крим,10,10,10,10,10,10,10,10,10,
