region,2017,2018,2019,2020,2021,2022,2023,2024,2025
Вінницька область,928,651,692,738,591,611,695,694,566
Волинська область,798,716,807,728,599,587,818,909,903
Дніпропетровська область,2198,2008,2102,2288,2063,1737,2140,2379,2162
Донецька область,951,878,1028,1044,1049,371,583,541,351
Житомирська область,1153,924,1002,985,931,795,1016,897,967
Закарпатська область,633,606,508,542,457,435,469,433,379
Запорізька область,1210,1159,1168,1259,1183,565,803,842,828
Івано-Франківська область,768,735,813,751,871,805,907,996,992
Київ,2556,2179,2278,2077,2124,1487,1894,2167,1995
Київська область,1601,1655,1893,1948,1669,1267,1807,2038,1914
Кіровоградська область,450,397,532,635,619,609,782,826,779
Луганська область,321,257,305,288,301,33,0,0,0
Львівська область,2405,2036,2095,1926,1902,1797,2001,2307,2115
Миколаївська область,948,959,972,998,1073,776,1060,1118,942
Одеська область,2255,2017,1972,1843,1445,1157,1568,2088,1724
Полтавська область,948,880,995,1023,1010,789,974,975,923
Рівненська область,692,565,752,798,738,623,719,773,681
Сумська область,595,532,603,648,737,604,711,884,869
Тернопільська область,576,421,513,552,623,540,563,572,545
Харківська область,1470,1492,1807,1813,1591,867,1404,1493,1430
Херсонська область,875,747,708,736,662,75,155,183,188
Хмельницька область,837,685,664,699,672,624,727,757,650
Черкаська область,1013,786,765,768,646,545,675,699,707
Чернівецька область,692,585,583,611,592,558,661,672,591
Чернігівська область,347,424,495,442,373,371,510,538,437
Автономна Республіка Крим,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
