region,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,
Вінницька область,0,0,0,0,5,7,9,9,17,,,,,,,,,
Волинська область,0,0,0,0,7,8,10,10,17,,,,,,,,,
Дніпропетровська область,0,0,0,0,15,0,0,2,16,,,,,,,,,
Донецька область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Житомирська область,0,0,0,0,15,10,12,13,17,,,,,,,,,
Закарпатська область,0,0,0,0,9,0,3,3,20,,,,,,,,,
Запорізька область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Івано-Франківська область,0,0,0,0,4,0,6,7,18,,,,,,,,,
Київ,0,0,0,20,27,20,25,26,30,,,,,,,,,
Київська область,0,0,0,30,34,10,30,37,37,,,,,,,,,
Кіровоградська область,0,0,0,0,3,4,5,6,7,,,,,,,,,
Луганська область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Львівська область,0,0,0,0,46,13,40,43,46,,,,,,,,,
Миколаївська область,0,0,0,0,6,0,6,12,15,,,,,,,,,
Одеська область,0,0,0,0,19,9,15,19,23,,,,,,,,,
Полтавська область,0,0,0,0,12,11,14,16,17,,,,,,,,,
Рівненська область,0,0,0,0,9,5,9,9,9,,,,,,,,,
Сумська область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Тернопільська область,0,0,0,0,8,7,8,8,15,,,,,,,,,
Харківська область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Херсонська область,0,0,0,0,0,0,0,0,0,,,,,,,,,
Хмельницька область,0,0,0,0,3,3,3,3,4,,,,,,,,,
Черкаська область,0,0,0,0,5,7,8,8,10,,,,,,,,,
Чернівецька область,0,0,0,0,8,5,8,8,10,,,,,,,,,
Чернігівська область,0,0,0,0,8,9,12,12,12,,,,,,,,,
Автономна Республіка Крим,0,0,0,0,0,0,0,0,0,,,,,,,,,
